followers,following,posts,profile_pic,bio,fake
120,300,5,0,0,1
5000,200,150,1,1,0
50,800,2,0,0,1
10000,500,300,1,1,0
150,1000,1,0,0,1
7000,400,250,1,1,0
250,900,3,0,0,1
8500,350,210,1,1,0
90,1500,0,0,0,1
15000,300,500,1,1,0
80,2000,1,0,0,1
20000,250,600,1,1,0
60,1800,2,0,0,1
9500,450,280,1,1,0
300,1200,4,0,0,1
12000,500,350,1,1,0
100,1400,3,0,0,1
18000,350,700,1,1,0
130,1600,2,0,0,1
22000,400,800,1,1,0
75,1300,1,0,0,1
14000,600,450,1,1,0
200,1100,5,0,0,1
17000,500,550,1,1,0
90,1700,0,0,0,1
25000,450,900,1,1,0
55,2100,1,0,0,1
11000,300,320,1,1,0
180,1400,4,0,0,1
16000,550,650,1,1,0
70,1900,2,0,0,1
13000,350,400,1,1,0
240,1000,6,0,0,1
21000,600,850,1,1,0
85,2200,1,0,0,1
12500,450,360,1,1,0
190,1500,3,0,0,1
17500,500,700,1,1,0
95,1800,2,0,0,1
14500,550,480,1,1,0
260,900,7,0,0,1
23000,650,950,1,1,0
65,2400,1,0,0,1
13500,400,420,1,1,0
170,1600,4,0,0,1
15500,500,600,1,1,0
110,2000,2,0,0,1
19500,350,780,1,1,0
140,1700,3,0,0,1
16500,450,690,1,1,0
115,2100,1,0,0,1
18500,550,720,1,1,0
90,2300,0,0,0,1
20500,500,880,1,1,0
125,1800,2,0,0,1
15000,600,510,1,1,0
160,1900,4,0,0,1
22500,450,910,1,1,0
100,2500,1,0,0,1
24000,700,1000,1,1,0
